date,station,actual
3/1/2023,1,31.0
3/2/2023,1,30.5
3/3/2023,1,32.3
3/4/2023,1,30.4
3/5/2023,1,31.1
3/6/2023,1,32.3
3/7/2023,1,34.3
3/8/2023,1,33.2
3/9/2023,1,32.6
3/10/2023,1,30.2
3/11/2023,1,33.3
3/12/2023,1,30.4
3/13/2023,1,34.1
3/14/2023,1,35.6
3/15/2023,1,35.7
3/16/2023,1,33.9
3/17/2023,1,36.6
3/18/2023,1,34.3
3/19/2023,1,35.1
3/20/2023,1,37.4
3/21/2023,1,40.8
3/22/2023,1,40.6
3/23/2023,1,38.9
3/24/2023,1,39.0
3/25/2023,1,36.5
3/26/2023,1,38.1
3/27/2023,1,36.2
3/28/2023,1,35.1
3/29/2023,1,39.0
3/30/2023,1,39.1
3/31/2023,1,40.8
4/1/2023,1,37.7
4/2/2023,1,38.9
4/3/2023,1,36.0
4/4/2023,1,34.2
4/5/2023,1,37.9
4/6/2023,1,40.9
4/7/2023,1,36.4
4/8/2023,1,34.3
4/9/2023,1,36.1
4/10/2023,1,35.4
4/11/2023,1,29.9
4/12/2023,1,30.1
4/13/2023,1,36.0
4/14/2023,1,39.6
4/15/2023,1,40.4
4/16/2023,1,44.1
4/17/2023,1,39.1
4/18/2023,1,42.7
4/19/2023,1,41.1
4/20/2023,1,41.8
4/21/2023,1,42.9
4/22/2023,1,42.6
4/23/2023,1,39.6
4/24/2023,1,38.7
4/25/2023,1,38.4
4/26/2023,1,38.7
4/27/2023,1,39.8
4/28/2023,1,41.9
4/29/2023,1,41.6
4/30/2023,1,42.0
5/1/2023,1,40.3
5/2/2023,1,37.3
5/3/2023,1,35.5
5/4/2023,1,38.7
5/5/2023,1,41.7
5/6/2023,1,41.0
5/7/2023,1,46.3
5/8/2023,1,45.6
5/9/2023,1,44.7
5/10/2023,1,40.9
5/11/2023,1,42.3
5/12/2023,1,41.6
5/13/2023,1,39.7
5/14/2023,1,42.6
5/15/2023,1,43.0
5/16/2023,1,45.0
5/17/2023,1,43.5
5/18/2023,1,44.5
5/19/2023,1,35.0
5/20/2023,1,41.5
