date,station,tomorrow,day_after_tomorrow,one_day_abs_error,two_day_abs_error
3/1/2023,1,33.865704,34.38216,2.9,3.9
3/2/2023,1,31.755863,33.20224,1.3,0.9
3/3/2023,1,31.320864,32.423153,1.0,2.0
3/4/2023,1,32.999874,34.36418,2.6,3.3
3/5/2023,1,30.681028,32.289402,0.4,0.0
3/6/2023,1,31.907667,32.90869,0.4,1.4
3/7/2023,1,33.029716,33.983437,1.3,0.8
3/8/2023,1,33.94548,34.580875,0.7,2.0
3/9/2023,1,34.076576,34.56087,1.5,4.4
3/10/2023,1,33.494465,34.152863,3.3,0.9
3/11/2023,1,31.458767,32.35824,1.8,2.0
3/12/2023,1,33.78328,34.329987,3.4,0.2
3/13/2023,1,31.31491,32.83708,2.8,2.8
3/14/2023,1,34.28238,34.417694,1.3,1.3
3/15/2023,1,34.7003,34.69101,1.0,0.8
3/16/2023,1,35.21926,34.855984,1.3,1.7
3/17/2023,1,33.563274,34.426273,3.0,0.1
3/18/2023,1,37.091236,36.628414,2.8,1.5
3/19/2023,1,34.8628,35.18593,0.2,2.2
3/20/2023,1,35.44539,35.436447,2.0,5.4
3/21/2023,1,36.719456,36.14868,4.1,4.5
3/22/2023,1,38.66957,37.760624,1.9,1.1
3/23/2023,1,38.590855,37.902573,0.3,1.1
3/24/2023,1,38.09382,37.35482,0.9,0.9
3/25/2023,1,37.898975,37.512623,1.4,0.6
3/26/2023,1,37.114048,37.093597,1.0,0.9
3/27/2023,1,37.657417,37.79025,1.5,2.7
3/28/2023,1,37.32726,37.278183,2.2,1.7
3/29/2023,1,36.658726,36.97374,2.3,2.1
3/30/2023,1,38.161835,38.050472,0.9,2.7
3/31/2023,1,38.40675,38.344105,2.4,0.6
3/1/2023,2,25.010998,24.994772,1.2,2.9
3/2/2023,2,24.690317,24.735031,2.6,1.7
3/3/2023,2,24.388325,24.571205,1.4,2.8
3/4/2023,2,24.464985,24.665329,2.7,0.7
3/5/2023,2,24.38904,24.893791,0.4,0.5
3/6/2023,2,24.837393,24.799994,0.4,1.7
3/7/2023,2,24.701633,24.892353,1.6,3.8
3/8/2023,2,24.430517,24.870398,3.3,1.4
3/9/2023,2,24.109962,24.452673,0.6,3.4
3/10/2023,2,24.173578,24.419376,3.1,3.9
3/11/2023,2,23.905806,24.15938,3.4,2.4
3/12/2023,2,24.072819,24.2967,2.3,0.3
3/13/2023,2,23.66289,23.866117,0.3,1.1
3/14/2023,2,23.84024,24.06543,1.2,0.3
3/15/2023,2,24.684895,24.562626,0.3,1.4
3/16/2023,2,24.881266,24.975035,1.1,0.2
3/17/2023,2,25.288486,25.351568,0.5,2.5
3/18/2023,2,24.669485,24.728151,1.8,1.2
3/19/2023,2,24.044273,24.261213,1.9,2.1
3/20/2023,2,25.260517,24.70371,1.1,4.0
3/21/2023,2,25.70512,25.545061,3.0,3.2
3/22/2023,2,26.510578,25.998756,2.2,0.7
3/23/2023,2,26.834944,26.484882,0.1,0.3
3/24/2023,2,26.029661,26.140772,0.8,2.0
3/25/2023,2,25.859528,26.050148,1.8,1.1
3/26/2023,2,24.74173,24.778873,2.5,2.0
3/27/2023,2,25.872572,26.214619,0.9,2.9
3/28/2023,2,25.759111,25.755167,2.5,2.1
3/29/2023,2,24.332928,24.653439,0.6,1.2
3/30/2023,2,23.966833,24.530237,1.9,1.6
3/31/2023,2,24.589169,24.794157,1.5,1.4
3/1/2023,3,31.530972,31.7865,1.2,1.7
3/2/2023,3,30.027824,30.958456,0.1,1.1
3/3/2023,3,30.777847,31.82077,0.9,2.2
3/4/2023,3,30.822657,31.710781,1.2,0.6
3/5/2023,3,30.617186,32.095833,1.7,0.2
3/6/2023,3,32.216904,32.460323,0.1,0.4
3/7/2023,3,32.27062,32.369892,0.6,0.3
3/8/2023,3,32.588337,32.62616,0.5,3.2
3/9/2023,3,32.65559,32.58639,3.3,1.6
3/10/2023,3,30.925941,31.878347,0.1,1.5
3/11/2023,3,31.64455,32.27923,1.8,4.5
3/12/2023,3,33.07176,32.615356,5.3,1.0
3/13/2023,3,30.167915,31.334385,1.4,4.0
3/14/2023,3,32.556675,32.055054,2.7,3.7
3/15/2023,3,33.585823,32.621044,2.2,0.6
3/16/2023,3,33.942326,33.092655,1.9,2.9
3/17/2023,3,34.33806,33.996464,1.7,1.6
3/18/2023,3,35.441753,34.754032,3.0,0.3
3/19/2023,3,34.062206,34.07024,0.4,0.4
3/20/2023,3,34.709965,34.373955,0.2,1.3
3/21/2023,3,34.642517,33.97648,1.1,5.7
3/22/2023,3,36.044037,34.938046,3.7,2.8
3/23/2023,3,37.488567,36.094097,0.2,0.7
3/24/2023,3,37.087875,36.389137,0.3,0.7
3/25/2023,3,36.664,36.40019,0.4,0.9
3/26/2023,3,36.332146,35.51148,1.0,0.7
3/27/2023,3,36.8928,36.16926,2.1,0.4
3/28/2023,3,35.659504,35.735218,0.9,2.5
3/29/2023,3,36.457783,35.02244,1.7,4.7
3/30/2023,3,37.265053,36.559036,2.4,0.6
3/31/2023,3,37.951176,37.335087,2.0,2.4
3/1/2023,4,24.88566,25.401295,2.1,2.5
3/2/2023,4,23.555742,24.615938,0.7,0.9
3/3/2023,4,23.822338,24.323402,0.1,1.1
3/4/2023,4,23.875378,24.240498,0.7,0.0
3/5/2023,4,23.794855,24.37521,0.4,0.3
3/6/2023,4,24.368418,24.4775,0.3,0.0
3/7/2023,4,24.628716,24.92921,0.1,0.4
3/8/2023,4,24.958382,25.143045,0.3,0.1
3/9/2023,4,24.431309,24.98977,0.6,0.1
3/10/2023,4,24.607265,24.84445,0.5,0.2
3/11/2023,4,24.687054,25.190796,0.1,4.9
3/12/2023,4,24.407625,24.599209,4.1,2.1
3/13/2023,4,23.023708,24.036573,0.5,0.4
3/14/2023,4,23.969992,24.389479,0.4,0.3
3/15/2023,4,24.76229,25.259073,0.7,1.4
3/16/2023,4,25.102669,25.689768,1.2,0.8
3/17/2023,4,25.8075,26.157265,0.9,1.9
3/18/2023,4,25.013668,25.86833,0.7,3.1
3/19/2023,4,25.621843,26.246248,3.4,2.8
3/20/2023,4,27.802975,27.205074,1.2,4.0
3/21/2023,4,28.113852,26.73975,3.1,5.4
3/22/2023,4,29.664696,27.33323,2.4,5.4
3/23/2023,4,29.917788,27.461931,2.8,1.6
3/24/2023,4,31.315538,30.071777,2.2,1.7
3/25/2023,4,30.432959,29.372019,1.4,6.8
3/26/2023,4,25.31664,26.7157,2.7,1.7
3/27/2023,4,25.060022,26.380718,0.1,0.8
3/28/2023,4,26.275331,26.583902,0.9,5.0
3/29/2023,4,28.824583,28.13298,2.8,0.6
3/30/2023,4,28.726343,28.368809,0.0,0.4
3/31/2023,4,27.8924,27.426712,0.1,0.0
3/1/2023,5,34.547783,34.753906,4.2,4.1
3/2/2023,5,32.294304,33.549675,1.6,1.7
3/3/2023,5,32.267258,33.56229,0.5,3.6
3/4/2023,5,32.83842,34.15601,2.8,1.2
3/5/2023,5,32.360573,33.642498,0.6,0.1
3/6/2023,5,33.119003,34.164494,0.6,0.2
3/7/2023,5,33.87912,34.783966,0.1,2.3
3/8/2023,5,34.65449,34.83689,2.2,1.0
3/9/2023,5,33.787724,34.288982,0.0,3.5
3/10/2023,5,33.630936,33.816654,2.8,3.5
3/11/2023,5,32.73126,33.58762,2.4,1.7
3/12/2023,5,32.622482,33.307995,0.7,1.4
3/13/2023,5,32.390305,33.245182,0.5,0.2
3/14/2023,5,33.506424,33.633606,0.1,0.5
3/15/2023,5,34.391598,33.95673,0.3,0.5
3/16/2023,5,34.706272,34.149593,1.2,2.1
3/17/2023,5,33.904415,33.92231,1.9,1.0
3/18/2023,5,34.245193,34.06515,1.3,1.4
3/19/2023,5,33.192253,33.731426,0.5,1.9
3/20/2023,5,34.164898,34.183353,2.4,0.1
3/21/2023,5,33.111546,33.546963,1.0,1.3
3/22/2023,5,34.34485,34.25385,0.5,2.8
3/23/2023,5,35.33919,35.03111,1.8,2.7
3/24/2023,5,36.85174,36.118073,0.8,1.9
3/25/2023,5,37.536877,36.46066,0.5,1.2
3/26/2023,5,37.681347,36.70372,0.0,1.2
3/27/2023,5,37.240765,36.503704,1.7,0.8
3/28/2023,5,36.727047,36.136066,1.0,1.1
3/29/2023,5,36.808365,36.315308,1.8,0.6
3/30/2023,5,36.511536,36.319576,0.4,1.4
3/31/2023,5,37.497627,36.652576,0.2,1.8
3/1/2023,6,33.987366,34.317772,1.0,4.2
3/2/2023,6,32.843323,33.40009,2.7,1.5
3/3/2023,6,31.657541,32.636673,0.2,1.2
3/4/2023,6,32.50471,33.00568,1.1,1.9
3/5/2023,6,32.02225,32.957726,0.9,0.8
3/6/2023,6,32.114517,32.895447,0.1,0.3
3/7/2023,6,32.841713,33.273,0.4,0.6
3/8/2023,6,33.364586,33.505444,0.5,1.3
3/9/2023,6,34.45658,34.291615,2.3,2.5
3/10/2023,6,32.15119,32.91725,0.4,0.6
3/11/2023,6,32.42778,33.035168,0.1,0.8
3/12/2023,6,33.024673,33.63156,0.8,0.2
3/13/2023,6,32.38232,32.78604,1.0,1.5
3/14/2023,6,33.13516,33.43658,1.2,1.3
3/15/2023,6,34.174103,34.12515,0.5,2.5
3/16/2023,6,34.45534,34.27268,2.1,2.1
3/17/2023,6,35.12388,34.794964,1.3,0.4
3/18/2023,6,36.426952,35.692726,2.0,0.6
3/19/2023,6,34.66179,34.54254,0.4,2.9
3/20/2023,6,34.987133,34.570065,2.4,1.4
3/21/2023,6,35.864944,35.56395,0.1,2.4
3/22/2023,6,36.277065,35.631863,1.7,3.6
3/23/2023,6,36.07614,35.440876,3.1,1.5
3/24/2023,6,36.91924,36.278194,0.0,3.1
3/25/2023,6,37.218803,36.329967,2.2,1.4
3/26/2023,6,37.326256,36.744694,0.4,1.1
3/27/2023,6,37.273613,36.692554,0.5,1.2
3/28/2023,6,37.542824,37.192806,2.0,2.0
3/29/2023,6,36.200653,36.68194,3.0,1.8
3/30/2023,6,37.371044,37.111824,1.1,1.0
3/31/2023,6,37.7388,37.29704,0.4,1.9
3/1/2023,7,34.052677,33.307636,4.9,4.4
3/2/2023,7,31.488356,30.891003,2.6,1.6
3/3/2023,7,30.74859,30.777626,1.4,3.9
3/4/2023,7,30.478819,30.892477,3.6,2.5
3/5/2023,7,28.702848,29.748478,0.3,1.4
3/6/2023,7,30.548166,30.890215,2.2,1.4
3/7/2023,7,31.241371,31.299948,1.1,0.1
3/8/2023,7,32.520374,32.64898,1.1,1.8
3/9/2023,7,32.305088,32.28873,1.5,1.5
3/10/2023,7,32.451393,32.45718,1.7,1.4
3/11/2023,7,32.423386,32.47493,1.3,1.1
3/12/2023,7,31.858204,32.12402,0.5,0.8
3/13/2023,7,32.490425,32.73396,1.2,0.6
3/14/2023,7,33.14484,33.13417,0.2,0.8
3/15/2023,7,33.57722,33.222466,0.3,3.3
3/16/2023,7,33.394073,33.126537,3.5,0.5
3/17/2023,7,32.63598,32.019154,1.0,0.3
3/18/2023,7,34.45223,33.538586,2.8,2.0
3/19/2023,7,32.780033,32.606686,1.3,0.2
3/20/2023,7,31.540056,31.660011,0.9,4.5
3/21/2023,7,33.780067,33.163208,2.4,2.3
3/22/2023,7,35.55972,34.878757,0.1,1.5
3/23/2023,7,36.46862,35.429424,0.1,1.4
3/24/2023,7,37.37776,36.33484,0.6,0.5
3/25/2023,7,36.839428,35.314972,1.0,0.2
3/26/2023,7,36.672993,35.32322,1.2,0.5
3/27/2023,7,36.388924,35.523266,0.6,0.7
3/28/2023,7,36.528408,35.24057,1.7,0.8
3/29/2023,7,36.30421,35.23547,0.3,1.9
3/30/2023,7,36.762817,35.761032,0.3,0.5
3/31/2023,7,37.402046,36.159927,1.1,0.8
