date,station,tomorrow,day_after_tomorrow,1day_abs_error,2day_abs_error
2023-03-01,1,29,28,2.0,2.5
2023-03-02,1,28,29,2.5,3.3
2023-03-03,1,28,30,4.3,0.4
2023-03-04,1,27,27,3.4,4.1
2023-03-05,1,27,28,4.1,4.3
2023-03-06,1,28,28,4.3,6.3
2023-03-07,1,29,29,5.3,4.2
2023-03-08,1,30,30,3.2,2.6
2023-03-09,1,28,28,4.6,2.2
2023-03-10,1,28,28,2.2,5.3
2023-03-11,1,29,29,4.3,1.4
2023-03-12,1,28,28,2.4,6.1
2023-03-13,1,30,30,4.1,5.6
2023-03-14,1,31,31,4.6,4.7
2023-03-15,1,32,33,3.7,0.9
2023-03-16,1,31,31,2.9,5.6
2023-03-17,1,32,31,4.6,3.3
2023-03-18,1,30,30,4.3,5.1
2023-03-19,1,31,31,4.1,6.4
2023-03-20,1,32,32,5.4,8.8
2023-03-21,1,33,34,7.8,6.6
2023-03-22,1,34,41,6.6,2.1
2023-03-23,1,35,35,3.9,4.0
2023-03-24,1,35,36,4.0,0.5
2023-03-25,1,33,34,3.5,4.1
2023-03-26,1,33,34,5.1,2.2
2023-03-27,1,33,32,3.2,3.1
2023-03-28,1,31,31,4.1,8.0
2023-03-29,1,34,32,5.0,7.1
2023-03-30,1,34,33,5.1,7.8
2023-03-31,1,33,40,7.8,2.3
2023-04-01,1,34,37,3.7,1.9
2023-04-02,1,34,34,4.9,2.0
2023-04-03,1,32,31,4.0,3.2
2023-04-04,1,31,31,3.2,6.9
2023-04-05,1,31,32,6.9,8.9
2023-04-06,1,31,33,9.9,3.4
2023-04-07,1,33,34,3.4,0.3
2023-04-08,1,32,32,2.3,4.1
2023-04-09,1,33,32,3.1,3.4
2023-04-10,1,32,36,3.4,6.1
2023-04-11,1,27,28,2.9,2.1
2023-04-12,1,30,31,0.1,5.0
2023-04-13,1,33,31,3.0,8.6
2023-04-14,1,29,30,10.6,10.4
2023-04-15,1,34,39,6.4,5.1
2023-04-16,1,35,37,9.1,2.1
2023-04-17,1,35,34,4.1,8.7
2023-04-18,1,36,37,6.7,4.1
2023-04-19,1,37,44,4.1,2.2
2023-04-20,1,37,41,4.8,1.9
2023-04-21,1,37,37,5.9,5.6
2023-04-22,1,36,40,6.6,0.4
2023-04-23,1,35,36,4.6,2.7
2023-04-24,1,33,36,5.7,2.4
2023-04-25,1,36,37,2.4,1.7
2023-04-26,1,38,39,0.7,0.8
2023-04-27,1,40,40,0.2,1.9
2023-04-28,1,40,41,1.9,0.6
2023-04-29,1,40,40,1.6,2.0
2023-04-30,1,37,36,5.0,4.3
2023-05-01,1,37,36,3.3,1.3
2023-05-02,1,40,39,2.7,3.5
2023-05-03,1,38,38,2.5,0.7
2023-05-04,1,37,38,1.7,3.7
2023-05-05,1,40,39,1.7,2.0
2023-05-06,1,40,39,1.0,7.3
2023-05-07,1,41,40,5.3,5.6
2023-05-08,1,39,40,6.6,4.7
2023-05-09,1,44,42,0.7,1.1
2023-05-10,1,42,42,1.1,0.3
2023-05-11,1,42,42,0.3,0.4
2023-05-12,1,42,42,0.4,2.3
2023-05-13,1,41,40,1.3,2.6
2023-05-14,1,42,42,0.6,1.0
2023-05-15,1,42,44,1.0,1.0
2023-05-16,1,42,41,3.0,2.5
2023-05-17,1,44,44,0.5,0.5
2023-05-18,1,45,43,0.5,8.0
2023-05-19,1,45,45,10.0,3.5
2023-05-20,1,35,35,6.5,8.1
2023-05-21,1,38,40,5.1,2.6
2023-05-22,1,45,44,2.4,0.9
2023-05-23,1,43,43,0.1,2.8
2023-05-24,1,42,43,3.8,0.6
2023-05-25,1,44,44,1.6,0.2
2023-05-26,1,41,41,2.8,0.3
2023-05-27,1,41,41,0.3,0.2
2023-05-28,1,41,40,0.2,2.4
2023-05-29,1,41,40,3.4,1.4
2023-05-30,1,40,39,1.4,1.8
2023-05-31,1,39,38,1.8,0.9
2023-03-01,2,24,24,0.2,1.9
2023-03-02,2,21,21,1.1,2.0
2023-03-03,2,19,19,4.0,2.8
2023-03-04,2,23,23,1.2,1.0
2023-03-05,2,23,23,1.0,1.4
2023-03-06,2,23,23,1.4,0.1
2023-03-07,2,23,24,0.1,2.9
2023-03-08,2,23,24,1.9,0.5
2023-03-09,2,23,23,0.5,1.9
2023-03-10,2,23,23,1.9,2.5
2023-03-11,2,23,24,2.5,2.2
2023-03-12,2,23,20,1.2,4.0
2023-03-13,2,24,24,0.0,1.0
2023-03-14,2,25,26,0.0,1.6
2023-03-15,2,27,28,2.6,2.0
2023-03-16,2,25,25,1.0,0.2
